D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E3,E4,E5,E6,E7,E8,E9,I1,I2,I3,I4,I5,I6,I7,I8,I9,M1,M10,M11,M12,M13,M14,M15,M16,M17,M18,M2,M3,M4,M5,M6,M7,M8,M9,P1,P10,P11,P12,P13,P2,P3,P4,P5,P6,P7,P8,P9,S1,S10,S11,S12,S2,S3,S4,S5,S6,S7,S8,S9,V1,V10,V11,V12,V13,V2,V3,V4,V5,V6,V7,V8,V9,forward_returns,risk_free_rate,market_forward_excess_returns,date_id,lagged_forward_returns,lagged_risk_free_rate,lagged_market_forward_excess_returns
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449999988079071,3.631999969482422,3.181999981403351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7305060000.0,3579157311.3022485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.669921875,0.0,0.0,0.0,0.0,0.937173916464588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.4200439453125,0.0,46.720001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.71495310875434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541746705821724,1.7857142384090123e-05,0.0189924122488154,1,-0.0880677622176959,3.293650727423411e-05,-0.0188460819679682
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204.800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999761581421,3.82699990272522,2.9269999265670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4937680000.0,2089139041.432456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.8599853515625,0.0,0.0,0.0,0.0,0.9916171855469548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.3599853515625,0.0,39.38999938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.979552856605686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045439888408166,3.5714284768180245e-05,-0.0046578228820889,2,0.0541746705821724,1.7857142384090123e-05,0.0189924122488154
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.9000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,3.767999887466431,2.9679998755455017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5782130000.0,2531580615.071333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.8099365234375,0.0,0.0,0.0,0.0,0.9912931451890014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.06005859375,0.0,39.810001373291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.96129991119248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0402907919798171,3.174603221908449e-05,-0.0188460819679682,3,-0.0045439888408166,3.5714284768180245e-05,-0.0046578228820889
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5899999737739563,3.6459999084472656,3.0559999346733093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6285640000.0,2967724349.2916665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.9000244140625,0.0,0.0,0.0,0.0,0.967023585328214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.280029296875,0.0,45.2599983215332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.49472632803735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0135065229856284,2.3412697371982395e-05,-0.0135800397940411,4,-0.0402907919798171,3.174603221908449e-05,-0.0188460819679682
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.9000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4699999988079071,3.6440000534057617,3.1740000545978546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6716120000.0,3265007249.1472964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.0400390625,0.0,0.0,0.0,0.0,0.9732263463929302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.22998046875,0.0,45.13999938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.978025353921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0385178411912102,1.865079360348837e-05,-0.0188460819679682,5,-0.0135065229856284,2.3412697371982395e-05,-0.0135800397940411
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.0999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4099999964237213,3.4260001182556152,3.016000121831894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7956020000.0,4148081208.551782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.530029296875,0.0,0.0,0.0,0.0,0.9440192804894796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.8900146484375,0.0,52.04999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.83828531833059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0573948408433637,1.626984112792545e-05,-0.0188460819679682,6,-0.0385178411912102,1.865079360348837e-05,-0.0188460819679682
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7850000262260437,3.50600004196167,2.721000015735626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7069210000.0,3294900901.5936704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170.1300048828125,0.0,0.0,0.0,0.0,0.917729244685944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.22998046875,0.0,53.68000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.19637675622477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011332702537251,3.115079469150967e-05,-0.0113228870263089,7,-0.0573948408433637,1.626984112792545e-05,-0.0188460819679682
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.5999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399999856948853,3.714999914169312,3.0749999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8716330000.0,4002907093.64604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176.12005615234375,0.0,0.0,0.0,0.0,0.937757662058906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.9400024414062,0.0,57.52999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.54633131751127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0761670958081661,2.539682482916211e-05,-0.0188460819679682,8,-0.011332702537251,3.115079469150967e-05,-0.0113228870263089
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.5999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799999833106995,3.8340001106262207,3.254000127315521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6819000000.0,3089714477.476735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204.36004638671875,0.0,0.0,0.0,0.0,0.9014088872391016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.9199829101562,0.0,63.91999816894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.62798643325954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0117592891770657,2.3015872353599187e-05,-0.0116684073447481,9,-0.0761670958081661,2.539682482916211e-05,-0.0188460819679682
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313.800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209999993443489,3.861000061035156,3.651000067591667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11456230000.0,5628214119.90324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.010009765625,0.0,0.0,0.0,0.0,0.9275664092273794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.219970703125,0.0,69.94999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.7516653605962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115800369515137,8.333333073154328e-06,0.0189924122488154,10,-0.0117592891770657,2.3015872353599187e-05,-0.0116684073447481
